x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	1.402e+00
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	1.191e+00	1.191e+00
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	1.156e+00	1.156e+00	1.156e+00	9.778e-01
3	3	nan	nan	nan	3.265e-01	3.265e-01
3	4	nan	nan	9.224e-01	9.224e-01	3.627e-01
3	5	nan	nan	nan	6.170e-01	6.000e-01
3	6	nan	7.500e-01	7.500e-01	7.281e-01	6.750e-01
3	7	nan	nan	7.412e-01	7.412e-01	6.857e-01
3	8	nan	nan	nan	nan	nan
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	1.244e+00
4	1	nan	1.116e+00	1.116e+00	1.116e+00	1.116e+00
4	2	nan	6.977e-01	6.977e-01	6.977e-01	3.023e-01
4	3	nan	nan	2.755e-01	1.915e-01	1.915e-01
4	4	nan	nan	5.625e-01	2.255e-01	2.255e-01
4	5	5.930e-01	5.930e-01	3.571e-01	3.571e-01	1.939e-01
4	6	8.617e-01	5.000e-01	5.000e-01	3.837e-01	3.837e-01
4	7	nan	6.739e-01	6.500e-01	6.273e-01	5.000e-01
4	8	nan	nan	7.565e-01	7.565e-01	7.207e-01
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	1.151e+00	1.151e+00	8.818e-01	8.774e-01
