x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	1.170e+00
2	4	nan	nan	9.273e-01	9.273e-01	9.273e-01
2	5	nan	nan	nan	7.642e-01	7.642e-01
2	6	nan	nan	nan	nan	5.417e-01
2	7	nan	nan	nan	nan	7.698e-01
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	9.778e-01
3	3	nan	nan	9.216e-01	3.367e-01	3.367e-01
3	4	nan	3.837e-01	3.837e-01	3.837e-01	3.627e-01
3	5	nan	3.953e-01	3.953e-01	2.907e-01	2.907e-01
3	6	nan	6.742e-01	6.733e-01	3.295e-01	3.295e-01
3	7	nan	nan	nan	7.208e-01	6.301e-01
3	8	nan	nan	nan	6.745e-01	6.745e-01
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	6.977e-01	4.186e-01	4.186e-01
4	3	nan	nan	2.556e-01	2.556e-01	2.444e-01
4	4	nan	4.302e-01	3.721e-01	2.778e-01	2.255e-01
4	5	nan	4.419e-01	3.627e-01	3.023e-01	1.939e-01
4	6	nan	6.047e-01	3.837e-01	3.837e-01	2.872e-01
4	7	nan	5.305e-01	4.274e-01	3.871e-01	3.871e-01
4	8	nan	nan	8.955e-01	6.733e-01	6.650e-01
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	1.189e+00	1.170e+00	1.170e+00
5	1	nan	7.458e-01	7.458e-01	7.458e-01	7.458e-01
