x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	7.959e-01
2	5	nan	nan	nan	1.010e+00	1.010e+00
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	8.033e-01	8.033e-01	8.033e-01
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	1.149e+00	1.149e+00	1.149e+00
3	2	nan	nan	nan	nan	1.216e+00
3	3	nan	nan	5.116e-01	5.116e-01	5.116e-01
3	4	nan	3.837e-01	3.837e-01	3.837e-01	3.529e-01
3	5	nan	nan	4.302e-01	3.295e-01	3.295e-01
3	6	nan	nan	5.196e-01	5.098e-01	5.098e-01
3	7	nan	nan	nan	7.372e-01	7.372e-01
3	8	nan	nan	8.491e-01	8.491e-01	8.491e-01
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	6.977e-01	6.977e-01	6.977e-01
4	3	nan	nan	4.535e-01	2.979e-01	2.979e-01
4	4	nan	7.209e-01	4.302e-01	3.868e-01	3.085e-01
4	5	nan	4.667e-01	3.372e-01	3.372e-01	3.372e-01
4	6	nan	5.000e-01	4.778e-01	3.878e-01	3.878e-01
4	7	nan	7.841e-01	5.313e-01	5.313e-01	5.313e-01
4	8	nan	nan	8.821e-01	7.952e-01	7.500e-01
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	1.076e+00	1.074e+00	1.074e+00
5	2	nan	7.442e-01	7.442e-01	7.442e-01	6.744e-01
